site,year,month,prcp,srad,tmax,tmin,temp,GDD
Steiner,2020,May,119.92,375.6629032,69.2663871,48.71735484,58.99187097,276.93
Steiner,2020,Jun,82.61,403.737,83.0552,60.2582,71.6567,637.767
Steiner,2020,Jul,92.9,379.9693548,86.84948387,65.64316129,76.24632258,780.93
Steiner,2020,Aug,43.07,400.2525806,82.84303226,60.11832258,71.48067742,654.561
Steiner,2020,Sep,68.09,346.149,75.905,52.2884,64.0967,422.361
Stoltzfus1,2019,May,154.52,372.0877419,66.146,45.36819355,55.75709677,178.47
Stoltzfus1,2019,Jun,139.39,365.59,77.0414,56.5994,66.8204,501.975
Stoltzfus1,2019,Jul,143.16,366.8512903,84.21393548,64.1776129,74.19577419,737.514
Stoltzfus1,2019,Aug,155.04,362.2364516,78.13458065,57.49090323,67.81274194,552.141
Stoltzfus1,2019,Sep,301.46,282.53,74.5958,56.315,65.4554,463.662
Stoltzfus,2018,May,181.65,353.4187097,76.26083871,53.39793548,64.8293871,448.659
Stoltzfus,2018,Jun,193.75,343.718,78.6614,60.377,69.5192,574.371
Stoltzfus,2018,Jul,95.54,402.0825806,81.97264516,60.52825806,71.25045161,651.798
Stoltzfus,2018,Aug,244.46,342.6232258,80.7016129,61.01483871,70.85822581,645.309
Stoltzfus,2018,Sep,256.35,310.6316667,74.1188,53.2172,63.668,406.017
Stoltzfus2,2019,May,154.52,372.0877419,66.146,45.36819355,55.75709677,178.47
Stoltzfus2,2019,Jun,139.39,365.59,77.0414,56.5994,66.8204,501.975
Stoltzfus2,2019,Jul,143.16,366.8512903,84.21393548,64.1776129,74.19577419,737.514
Stoltzfus2,2019,Aug,155.04,362.2364516,78.13458065,57.49090323,67.81274194,552.141
Stoltzfus2,2019,Sep,301.46,282.53,74.5958,56.315,65.4554,463.662
Wilken,2018,May,48.09,395.2683871,81.91225806,56.76509677,69.33867742,580.869
Wilken,2018,Jun,161.76,355.757,83.5076,63.2426,73.3751,681.075
Wilken,2018,Jul,53.43,397.2841935,83.74070968,63.28341935,73.51206452,714.132
Wilken,2018,Aug,79.5,365.5980645,84.64941935,63.3676129,74.00851613,725.571
Wilken,2018,Sep,79.63,333.406,80.6396,57.4628,69.0512,548.361
Wilken,2020,May,131,376.8096774,69.62812903,49.8316129,59.72987097,300.492
Wilken,2020,Jun,103.63,404.142,84.548,61.5176,73.0328,676.359
Wilken,2020,Jul,135.02,367.1951613,86.08941935,65.56883871,75.82912903,775.989
Wilken,2020,Aug,38.08,398.4722581,82.93535484,60.44174194,71.68854839,660.762
Wilken,2020,Sep,61.47,341.2426667,76.4378,53.0282,64.733,441.99
Zinniker,2018,May,146.52,380.2035484,74.53516129,49.97677419,62.25596774,374.49
Zinniker,2018,Jun,218.35,345.356,76.7018,57.1358,66.9188,498.006
Zinniker,2018,Jul,59.39,409.0632258,81.80948387,58.44896774,70.12922581,616.572
Zinniker,2018,Aug,158.11,337.5693548,81.1823871,59.93425806,70.55832258,630.477
Zinniker,2018,Sep,225.13,314.552,73.9058,52.634,63.2699,395.685
Zinniker,2019,May,176.41,360.1906452,64.49348387,43.95780645,54.22564516,131.544
Zinniker,2019,Jun,135.75,385.7303333,75.62,53.7824,64.7012,439.722
Zinniker,2019,Jul,98.71,376.2029032,84.09316129,62.59593548,73.34454839,707.958
Zinniker,2019,Aug,100.26,364.9687097,78.50909677,56.36967742,67.4393871,540.234
Zinniker,2019,Sep,218.92,287.288,74.4476,56.0924,65.27,458.1
